title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
Coriolanus,10000000.0,749641.0,2179623.0,Wein.,"[18, 53]",en,8.016,6.0,215.0,2012-01-19,2012.0,1.0
Parkland,10000000.0,641439.0,1616353.0,,"[36, 18, 53, 9648]",en,6.056,6.1,206.0,2013-10-04,2013.0,10.0
"Cinco de Mayo, La Batalla",10000000.0,173472.0,173472.0,,,,,,,,2013.0,5.0
Welcome to the Rileys,10000000.0,152857.0,355919.0,Gold.,[18],en,8.347999999999999,6.5,241.0,2010-10-29,2010.0,10.0
Kicks,10000000.0,150191.0,150191.0,,[12],en,4.002,6.6,50.0,2016-09-09,2016.0,9.0
High School,10000000.0,139034.0,248133.0,Anch.,[35],en,5.7620000000000005,5.8,68.0,2010-06-03,2010.0,6.0
Joheunnom nabbeunnom isanghannom,10000000.0,128486.0,42226657.0,,,,,,,,2010.0,4.0
Blood Done Sign My Name,10000000.0,109383.0,109383.0,,"[18, 80]",en,1.346,6.0,5.0,2010-02-01,2010.0,2.0
The Good Guy,10000000.0,100688.0,106460.0,,,,,,,,2010.0,2.0
Elsa & Fred,10000000.0,67657.0,197901.0,,"[35, 10751, 10749, 18]",en,6.2410000000000005,6.2,48.0,2014-03-07,2014.0,3.0
Strangerland,10000000.0,17472.0,161097.0,Alc,"[18, 53, 9648]",en,5.91,5.2,135.0,2015-07-10,2015.0,7.0
Hross i oss,10000000.0,11894.0,11894.0,,,,,,,,2015.0,3.0
The Oxford Murders,10000000.0,4803.0,17704131.0,,,,,,,,2010.0,8.0
Barbecue,10000000.0,388.0,247565.0,,[35],fr,7.874,5.8,383.0,2014-09-14,2014.0,9.0
The Reef,10000000.0,0.0,15037867.0,,"[18, 27, 53]",en,5.172999999999999,5.6,264.0,2010-05-15,2010.0,5.0
American Heist,10000000.0,0.0,2341218.0,,[28],en,7.271,4.6,213.0,2015-07-14,2015.0,7.0
It's a Wonderful Afterlife,10000000.0,0.0,1642939.0,UTV,"[35, 10749]",en,1.332,4.6,12.0,2010-10-08,2010.0,10.0
You Got Served: Beat The World,10000000.0,0.0,1230542.0,,,,,,,,2011.0,6.0
Plastic,10000000.0,0.0,575371.0,,[],en,0.6,6.5,1.0,2010-10-31,2010.0,10.0
Jungle Shuffle,10000000.0,0.0,360898.0,,,,,,,,2015.0,3.0
Detention,10000000.0,0.0,0.0,,"[27, 28, 35, 53]",en,2.377,3.5,15.0,2010-01-16,2010.0,1.0
Nurse 3D,10000000.0,0.0,0.0,,,,,,,,2014.0,2.0
Into the Grizzly Maze,10000000.0,0.0,0.0,,"[28, 27, 53]",en,7.132999999999999,5.3,121.0,2015-06-26,2015.0,6.0
Friend Request,9900000.0,3759078.0,11310835.0,ENTMP,[53],en,2.107,5.5,43.0,2013-05-05,2013.0,5.0
Gunless,9900000.0,458054.0,458054.0,,,,,,,,2010.0,4.0
Amour,9700000.0,6738954.0,36787044.0,SPC,"[18, 10749]",fr,10.705,7.7,746.0,2012-12-19,2012.0,12.0
Dangal,9500000.0,12391761.0,294654618.0,UTV,"[18, 28]",hi,10.022,8.1,358.0,2016-12-21,2016.0,12.0
The Runaways,9500000.0,3573673.0,5278632.0,App.,"[18, 10402]",en,8.19,6.4,448.0,2010-03-19,2010.0,3.0
Re-Kill,9500000.0,0.0,0.0,,"[27, 878]",en,4.191,4.8,47.0,2015-10-16,2015.0,10.0
Melancholia,9400000.0,3030848.0,21817298.0,Magn.,"[18, 878]",da,11.123,7.1,1642.0,2011-11-11,2011.0,11.0
Jab Tak Hai Jaan,9200000.0,3047539.0,5806666.0,Yash,"[18, 10749]",hi,7.701,6.9,107.0,2012-11-13,2012.0,11.0
Kites,9200000.0,1685269.0,17155193.0,Relbig.,"[18, 28, 10749]",hi,6.058,5.8,67.0,2010-05-21,2010.0,5.0
Red Dog,9100000.0,0.0,20927794.0,,,,,,,,2011.0,12.0
Mine Vaganti,9100000.0,0.0,18872126.0,,,,,,,,2010.0,12.0
The Purge: Anarchy,9000000.0,71562550.0,111534881.0,Uni.,"[27, 53]",en,28.424,6.6,3754.0,2014-07-18,2014.0,7.0
Ouija: Origin of Evil,9000000.0,35144505.0,81831866.0,Uni.,"[27, 53]",en,11.823,6.0,1416.0,2016-10-21,2016.0,10.0
Happy Death Day 2U,9000000.0,28051045.0,64179495.0,,,,,,,,2019.0,2.0
Black or White,9000000.0,21571189.0,21971021.0,Rela.,[18],en,8.05,6.8,193.0,2015-01-30,2015.0,1.0
