	production_budget	domestic_gross_x	worldwide_gross	month	year	studio	genre_ids	original_language	popularity	vote_average	vote_count	date	month	year
Pirates of the Caribbean: On Stranger Tides	410600000	241063875	1045663875	5.0	2011.0	BV	[12, 28, 14]	en	30.579	6.4	8571.0	2011-05-20	5.0	2011.0
Dark Phoenix	350000000	42762350	149762350	6.0	2019.0									
Avengers: Age of Ultron	330600000	459005868	1403013963	5.0	2015.0	BV	[28, 12, 878]	en	44.383	7.3	13457.0	2015-05-01	5.0	2015.0
Star Wars Ep. VIII: The Last Jedi	317000000	620181382	1316721747	12.0	2017.0									
Star Wars Ep. VII: The Force Awakens	306000000	936662225	2053311220	12.0	2015.0									
Avengers: Infinity War	300000000	678815482	2048134200	4.0	2018.0	BV	[12, 28, 14]	en	80.773	8.3	13948.0	2018-04-27	4.0	2018.0
Justice League	300000000	229024295	655945209	11.0	2017.0	WB	[28, 12, 14, 878]	en	34.953	6.2	7510.0	2017-11-17	11.0	2017.0
Spectre	300000000	200074175	879620923	11.0	2015.0	Sony	[28, 12, 80]	en	30.318	6.4	6719.0	2015-11-06	11.0	2015.0
The Dark Knight Rises	275000000	448139099	1084439099	7.0	2012.0	WB	[28, 80, 18, 53]	en	26.22	7.7	13933.0	2012-07-20	7.0	2012.0
Solo: A Star Wars Story	275000000	213767512	393151347	5.0	2018.0	BV	[28, 12, 878]	en	29.502	6.6	3838.0	2018-05-25	5.0	2018.0
The Lone Ranger	275000000	89302115	260002115	7.0	2013.0	BV	[28, 12, 37]	en	12.482000000000001	6.0	3789.0	2013-07-03	7.0	2013.0
John Carter	275000000	73058679	282778100	3.0	2012.0	BV	[28, 12, 878]	en	18.549	6.1	3338.0	2012-03-09	3.0	2012.0
Tangled	260000000	200821936	586477240	11.0	2010.0	BV	[16, 10751]	en	21.511	7.5	6407.0	2010-11-24	11.0	2010.0
Captain America: Civil War	250000000	408084349	1140069413	5.0	2016.0	BV	[12, 28, 878]	en	39.137	7.4	14000.0	2016-05-06	5.0	2016.0
Batman v Superman: Dawn of Justice	250000000	330360194	867500281	3.0	2016.0	WB	[28, 12, 14]	en	28.088	5.8	11991.0	2016-03-25	3.0	2016.0
The Hobbit: An Unexpected Journey	250000000	303003568	1017003568	12.0	2012.0	WB (NL)	[12, 14, 28]	en	26.939	7.2	12076.0	2012-12-14	12.0	2012.0
The Hobbit: The Desolation of Smaug	250000000	258366855	960366855	12.0	2013.0	WB (NL)	[12, 14, 28]	en	21.275	7.6	7739.0	2013-12-13	12.0	2013.0
The Hobbit: The Battle of the Five Armies	250000000	255119788	945577621	12.0	2014.0	WB (NL)	[28, 12, 14]	en	53.783	7.3	8392.0	2014-12-17	12.0	2014.0
The Fate of the Furious	250000000	225764765	1234846267	4.0	2017.0	Uni.	[28, 80, 53]	en	28.668000000000003	6.9	6335.0	2017-04-14	4.0	2017.0
Pirates of the Caribbean: Dead Men Tell No Tales	230000000	172558876	788241137	5.0	2017.0	BV	[12, 28, 14, 35]	en	28.101	6.6	6931.0	2017-05-26	5.0	2017.0
The Avengers	225000000	623279547	1517935897	5.0	2012.0		[878, 28, 12]	en	50.288999999999994	7.6	19673.0	2012-05-04	5.0	2012.0
Man of Steel	225000000	291045518	667999518	6.0	2013.0	WB	[28, 12, 14, 878]	en	27.666999999999998	6.5	9758.0	2013-06-14	6.0	2013.0
The Amazing Spider-Man	220000000	262030663	757890267	7.0	2012.0	Sony	[28, 12, 14]	en	24.391	6.5	10411.0	2012-07-04	7.0	2012.0
Battleship	220000000	65233400	313477717	5.0	2012.0	Uni.	[53, 28, 12, 878]	en	21.741999999999997	5.6	3240.0	2012-05-18	5.0	2012.0
Transformers: The Last Knight	217000000	130168683	602893340	6.0	2017.0	Par.	[28, 878, 53, 12]	en	24.258000000000003	6.0	3255.0	2017-06-21	6.0	2017.0
Jurassic World	215000000	652270625	1648854864	6.0	2015.0	Uni.	[28, 12, 878, 53]	en	20.709	6.6	14056.0	2015-06-12	6.0	2015.0
Men in Black 3	215000000	179020854	654213485	5.0	2012.0		[28, 35, 878]	en	26.176	6.4	6398.0	2012-05-25	5.0	2012.0
Transformers: Age of Extinction	210000000	245439076	1104039076	6.0	2014.0	Par.	[878, 28, 12]	en	20.961	5.8	4805.0	2014-06-27	6.0	2014.0
Black Panther	200000000	700059566	1348258224	2.0	2018.0	BV	[28, 16]	en	2.0580000000000003	5.1	11.0	2011-01-18	1.0	2011.0
Incredibles 2	200000000	608581744	1242520711	6.0	2018.0	BV	[28, 12, 16, 10751]	en	36.286	7.6	6354.0	2018-06-15	6.0	2018.0
Rogue One: A Star Wars Story	200000000	532177324	1049102856	12.0	2016.0	BV	[28, 12, 878]	en	21.401	7.5	9296.0	2016-12-16	12.0	2016.0
Finding Dory	200000000	486295561	1021215193	6.0	2016.0	BV	[12, 16, 35, 10751]	en	15.392999999999999	7.0	7845.0	2016-06-17	6.0	2016.0
Toy Story 3	200000000	415004880	1068879522	6.0	2010.0	BV	[16, 10751, 35]	en	24.445	7.7	8340.0	2010-06-17	6.0	2010.0
Iron Man 3	200000000	408992272	1215392272	5.0	2013.0	BV	[28, 12, 878]	en	32.093	6.9	14155.0	2013-05-03	5.0	2013.0
Guardians of the Galaxy Vol 2	200000000	389813101	862316233	5.0	2017.0									
Alice in Wonderland	200000000	334191110	1025491110	3.0	2010.0		[10751, 14, 12]	en	22.02	6.6	8713.0	2010-03-05	3.0	2010.0
Skyfall	200000000	304360277	1110526981	11.0	2012.0	Sony	[28, 12, 53]	en	19.27	7.1	10441.0	2012-11-09	11.0	2012.0
Monsters University	200000000	268488329	743588329	6.0	2013.0	BV	[16, 10751]	en	20.33	7.0	6362.0	2013-06-21	6.0	2013.0
Oz the Great and Powerful	200000000	234770996	490359051	3.0	2013.0		[14, 12, 10751]	en	13.377	5.8	4829.0	2013-03-08	3.0	2013.0
X-Men: Days of Future Past	200000000	233921534	747862775	5.0	2014.0	Fox	[28, 12, 14, 878]	en	41.867	7.5	10062.0	2014-05-23	5.0	2014.0
The Amazing Spider-Man 2	200000000	202853933	708996336	5.0	2014.0	Sony	[28, 12, 14]	en	20.846999999999998	6.4	7220.0	2014-05-02	5.0	2014.0
Cars 2	200000000	191450875	560155383	6.0	2011.0	BV	[16, 10751, 12, 35]	en	23.498	5.9	4058.0	2011-06-16	6.0	2011.0
Tron: Legacy	200000000	172062763	400062763	12.0	2010.0									
Fantastic Beasts: The Crimes of Grindelwald	200000000	159555901	652220086	11.0	2018.0	WB	[12]	en	48.508	6.9	4870.0	2018-11-16	11.0	2018.0
Green Lantern	200000000	116601172	219535492	6.0	2011.0	WB	[12, 28, 53, 878]	en	17.257	5.1	4290.0	2011-06-17	6.0	2011.0
Prince of Persia: Sands of Time	200000000	90759676	336359676	5.0	2010.0									
Transformers: Dark of the Moon	195000000	352390543	1123790543	6.0	2011.0	P/DW	[28, 878, 12]	en	5.3389999999999995	6.1	4961.0	2011-06-28	6.0	2011.0
The Mummy	195000000	80101125	409953905	6.0	2017.0		[14, 53, 28, 12, 27]	en	18.53	5.5	4391.0	2017-06-09	6.0	2017.0
Jack the Giant Slayer	195000000	65187603	197687603	3.0	2013.0	WB (NL)	[28, 12, 10751, 14]	en	12.773	5.6	3403.0	2013-03-01	3.0	2013.0
Furious 7	190000000	353007020	1518722794	4.0	2015.0	Uni.	[28, 80, 53]	en	20.396	7.3	6538.0	2015-04-03	4.0	2015.0
Star Trek Into Darkness	190000000	228778661	467381584	5.0	2013.0	Par.	[28, 12, 878]	en	20.487	7.4	6182.0	2013-05-16	5.0	2013.0
World War Z	190000000	202359711	531514650	6.0	2013.0	Par.	[28, 18, 27, 878, 53]	en	14.582	6.7	9132.0	2013-06-21	6.0	2013.0
The Great Gatsby	190000000	144840419	351040419	5.0	2013.0		[18, 10749]	en	15.397	7.4	7120.0	2013-05-10	5.0	2013.0
Pacific Rim	190000000	101802906	411002906	7.0	2013.0	WB	[28, 878, 12]	en	16.759	6.8	7632.0	2013-07-12	7.0	2013.0
The Good Dinosaur	187500000	123087120	333771037	11.0	2015.0	BV	[12, 16, 10751]	en	17.675	6.7	3135.0	2015-11-25	11.0	2015.0
Brave	185000000	237282182	554606532	6.0	2012.0	BV	[28]	th	0.6	5.0	1.0	2010-01-19	1.0	2010.0
Kong: Skull Island	185000000	168052812	561072059	3.0	2017.0	WB	[28, 12, 14]	en	29.388	6.3	6054.0	2017-03-10	3.0	2017.0
Star Trek Beyond	185000000	158848340	335802233	7.0	2016.0	Par.	[28, 12, 878]	en	19.142	6.7	4275.0	2016-07-22	7.0	2016.0
Blade Runner 2049	185000000	92054159	259357408	10.0	2017.0	WB	[878, 28, 53]	en	48.571000000000005	7.4	6679.0	2017-10-06	10.0	2017.0
Aladdin	182000000	246734314	619234314	5.0	2019.0									
Thor: Ragnarok	180000000	315058289	846980024	11.0	2017.0	BV	[28, 12, 35, 14]	en	43.45	7.5	11380.0	2017-11-03	11.0	2017.0
Maleficent	180000000	241407328	758536735	5.0	2014.0	BV	[14, 12, 28, 10751, 10749]	en	19.274	7.0	8143.0	2014-05-30	5.0	2014.0
Fantastic Beasts and Where to Find Them	180000000	234037575	802402853	11.0	2016.0		[12, 10751, 14]	en	28.563000000000002	7.4	12152.0	2016-11-18	11.0	2016.0
The Legend of Tarzan	180000000	126643061	348902025	7.0	2016.0	WB	[28, 12]	en	14.797	5.8	4102.0	2016-07-01	7.0	2016.0
Hugo	180000000	73864507	180047784	11.0	2011.0	Par.	[12, 18, 10751]	en	12.936	7.1	4124.0	2011-11-23	11.0	2011.0
Valerian and the City of a Thousand Planets	180000000	40479370	215098356	7.0	2017.0	STX	[12, 878, 28]	en	24.003	6.6	4149.0	2017-07-21	7.0	2017.0
Jupiter Ascending	179000000	47482519	181982519	2.0	2015.0	WB	[878, 14, 28, 12]	en	24.058000000000003	5.3	4401.0	2015-02-27	2.0	2015.0
Mission: ImpossibleâFallout	178000000	220159104	787456552	7.0	2018.0									
X-Men: Apocalypse	178000000	155442489	542537546	5.0	2016.0	Fox	[28, 12, 878, 14]	en	39.293	6.5	8348.0	2016-05-27	5.0	2016.0
The Meg	178000000	145443742	529530715	8.0	2018.0	WB	[28, 878, 53, 27]	en	31.397	5.9	2896.0	2018-08-10	8.0	2018.0
Edge of Tomorrow	178000000	100206256	370541256	6.0	2014.0	WB	[28, 878]	en	19.753	7.6	8047.0	2014-06-06	6.0	2014.0
Captain Marvel	175000000	426525952	1123061550	3.0	2019.0									
The Jungle Book	175000000	364001123	962854547	4.0	2016.0		[12, 18, 10751, 14]	en	20.129	6.8	5257.0	2016-04-15	4.0	2016.0
Inside Out	175000000	356461711	854235992	6.0	2015.0	BV	[18, 80]	en	4.758	4.4	18.0	2011-09-27	9.0	2011.0
Spider-Man: Homecoming	175000000	334201140	880166350	7.0	2017.0	Sony	[28, 12, 878, 18]	en	46.775	7.4	11585.0	2017-07-07	7.0	2017.0
Suicide Squad	175000000	325100054	746059887	8.0	2016.0	WB	[28, 12, 80, 14, 878]	en	16.53	5.9	13533.0	2016-08-05	8.0	2016.0
Coco	175000000	209726015	798008101	11.0	2017.0	BV	[16, 10751, 35, 12, 14]	en	25.961	8.2	8669.0	2017-11-22	11.0	2017.0
Ralph Breaks The Internet	175000000	201091711	524283695	11.0	2018.0									
Cars 3	175000000	152901115	383541369	6.0	2017.0	BV	[12, 16, 35, 10751]	en	18.427	6.7	2596.0	2017-06-16	6.0	2017.0
King Arthur: Legend of the Sword	175000000	39175066	139630336	5.0	2017.0	WB	[28, 18, 14]	en	21.793000000000003	6.5	3305.0	2017-05-12	5.0	2017.0
47 Ronin	175000000	38362475	151716815	12.0	2013.0	Uni.	[18, 28, 12, 14]	en	25.049	6.0	2080.0	2013-12-25	12.0	2013.0
Jurassic World: Fallen Kingdom	170000000	417719760	1305772799	6.0	2018.0	Uni.	[28, 12, 878]	en	34.958	6.5	5995.0	2018-06-22	6.0	2018.0
Guardians of the Galaxy	170000000	333172112	770867516	8.0	2014.0	BV	[28, 878, 12]	en	49.606	7.9	17958.0	2014-08-01	8.0	2014.0
Iron Man 2	170000000	312433331	621156389	5.0	2010.0	Par.	[12, 28, 878]	en	28.515	6.8	12368.0	2010-05-07	5.0	2010.0
Captain America: The Winter Soldier	170000000	259746958	714401889	4.0	2014.0	BV	[28, 12, 878]	en	18.073	7.7	11034.0	2014-04-04	4.0	2014.0
Dawn of the Planet of the Apes	170000000	208545589	710644566	7.0	2014.0	Fox	[878, 28, 18, 53]	en	27.641	7.3	7080.0	2014-07-11	7.0	2014.0
Snow White and the Huntsman	170000000	155136755	401021746	6.0	2012.0	Uni.	[12, 14, 18]	en	21.233	5.9	5258.0	2012-06-01	6.0	2012.0
Dumbo	170000000	113883318	345004422	3.0	2019.0									
Tomorrowland	170000000	93436322	206627518	5.0	2015.0	BV	[12, 10751, 9648, 878]	en	20.136	6.2	4610.0	2015-05-22	5.0	2015.0
Alita: Battle Angel	170000000	85710210	402976036	2.0	2019.0									
Godzilla: King of the Monsters	170000000	85576941	299276941	5.0	2019.0									
Alice Through the Looking Glass	170000000	77042381	276928112	5.0	2016.0	BV	[12, 10751, 14]	en	16.642	6.5	3803.0	2016-05-27	5.0	2016.0
Shrek Forever After	165000000	238736787	756244673	5.0	2010.0	P/DW	[35, 12, 14, 16, 10751]	en	15.040999999999999	6.1	3843.0	2010-05-16	5.0	2010.0
Doctor Strange	165000000	232641920	676404566	11.0	2016.0	BV	[28, 12, 14, 878]	en	33.035	7.3	12582.0	2016-11-04	11.0	2016.0
Big Hero 6	165000000	222527828	652127828	11.0	2014.0	BV	[12, 10751, 16, 28, 35]	en	36.92	7.8	10176.0	2014-11-07	11.0	2014.0
How to Train Your Dragon	165000000	217581232	494870992	3.0	2010.0	P/DW	[14, 12, 16, 10751]	en	28.734	7.7	7610.0	2010-03-26	3.0	2010.0
Wreck-It Ralph	165000000	189412677	496511521	11.0	2012.0	BV	[10751, 16, 35, 12]	en	22.967	7.3	7780.0	2012-11-02	11.0	2012.0
Interstellar	165000000	188017894	666379375	11.0	2014.0	Par.	[12, 18, 878]	en	28.44	8.2	18597.0	2014-11-05	11.0	2014.0
Independence Day: Resurgence	165000000	103144286	384169424	6.0	2016.0	Fox	[28, 12, 878]	en	15.732000000000001	5.1	3911.0	2016-06-24	6.0	2016.0
Cowboys and Aliens	163000000	100368560	176038324	7.0	2011.0									
Beauty and the Beast	160000000	504014165	1259199706	3.0	2017.0		[10749, 10751, 16, 14]	en	26.701	7.7	5730.0	2012-01-13	1.0	2012.0
Aquaman	160000000	335061807	1146894640	12.0	2018.0	WB	[28, 12, 14]	en	38.102	6.8	6155.0	2018-12-21	12.0	2018.0
Inception	160000000	292576195	835524642	7.0	2010.0	WB	[28, 878, 12]	en	27.92	8.3	22186.0	2010-07-16	7.0	2010.0
The Hunger Games: Mockingjay - Part 2	160000000	281723902	648986787	11.0	2015.0	LGF	[28, 12, 878]	en	19.487000000000002	6.8	7609.0	2015-11-18	11.0	2015.0
Fast and Furious 6	160000000	238679850	789300444	5.0	2013.0									
Godzilla	160000000	200676069	529076069	5.0	2014.0		[28, 18, 878]	en	24.982	6.1	5053.0	2014-05-16	5.0	2014.0
X-Men: First Class	160000000	146408305	355408305	6.0	2011.0	Fox	[28, 878, 12]	en	1.4469999999999998	7.2	8211.0	2011-06-03	6.0	2011.0
The Sorcerer's Apprentice	160000000	63150991	217986320	7.0	2010.0	BV	[14, 12, 28, 35, 18]	en	14.463	5.9	2879.0	2010-07-13	7.0	2010.0
Warcraft	160000000	47225655	425522281	6.0	2016.0	Uni.	[28, 12, 14]	en	21.464000000000002	6.3	4071.0	2016-06-10	6.0	2016.0
Deepwater Horizon	156000000	61433527	122603824	9.0	2016.0	LG/S	[18, 28]	en	13.685	6.7	2606.0	2016-09-30	9.0	2016.0
The Chronicles of Narnia: The Voyage of the Dawn Treader	155000000	104386950	418186950	12.0	2010.0	Fox	[12, 10751, 14]	en	17.382	6.3	3196.0	2010-12-10	12.0	2010.0
Terminator: Genisys	155000000	89760956	432150894	7.0	2015.0	Par.								
Pacific Rim: Uprising	155000000	59874525	290930148	3.0	2018.0		[28, 14, 878, 12]	en	30.019000000000002	5.9	2213.0	2018-03-23	3.0	2018.0
